Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313226.sam
AT1G01010	294
AT1G01020	197
AT1G01030	36
AT1G01040	1685
AT1G01046	6
AT1G01050	1077
AT1G01060	7205
AT1G01070	111
AT1G01073	0
AT1G01080	937
AT1G01090	3656
AT1G01100	1904
AT1G01110	132
AT1G01115	0
AT1G01120	7544
AT1G01130	35
AT1G01140	1924
AT1G01150	0
AT1G01160	567
AT1G01170	629
AT1G01180	409
AT1G01183	0
AT1G01190	20
AT1G01200	82
AT1G01210	113
AT1G01220	383
AT1G01225	35
AT1G01230	368
AT1G01240	342
AT1G01250	0
AT1G01260	294
AT1G01270	0
AT1G01280	0
AT1G01290	189
AT1G01300	1419
AT1G01305	0
AT1G01310	2
AT1G01320	12513
AT1G01340	182
AT1G01350	291
AT1G01355	2
AT1G01360	497
AT1G01370	39
AT1G01380	27
AT1G01390	699
AT1G01400	0
AT1G01410	0
AT1G01420	126
AT1G01430	1457
AT1G01440	514
AT1G01448	380
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	2499
AT1G01471	0
AT1G01480	67
AT1G01490	1791
AT1G01500	126
AT1G01510	606
AT1G01520	307
AT1G01530	0
AT1G01540	2116
AT1G01550	2306
AT1G01560	27
AT1G01570	19
AT1G01580	37
AT1G01590	0
AT1G01600	656
AT1G01610	1703
AT1G01620	26587
AT1G01630	737
AT1G01640	153
AT1G01650	744
AT1G01660	4
AT1G01670	4
AT1G01680	13
AT1G01690	62
AT1G01695	0
AT1G01700	2
AT1G01710	636
AT1G01720	3162
AT1G01725	80
AT1G01730	325
AT1G01740	57
AT1G01750	31
AT1G01760	37
AT1G01770	555
AT1G01780	1457
AT1G01790	1891
AT1G01800	598
AT1G01810	12
AT1G01820	845
AT1G01830	414
AT1G01840	12
AT1G01860	160
AT1G01870	0
AT1G01880	18
AT1G01890	0
AT1G01900	289
AT1G01910	610
AT1G01920	183
AT1G01930	280
AT1G01940	231
AT1G01950	567
AT1G01960	1994
AT1G01970	553
AT1G01980	0
AT1G01990	249
AT1G02000	301
AT1G02010	520
AT1G02020	302
AT1G02030	17
AT1G02040	2
AT1G02050	135
AT1G02060	115
AT1G02065	1
AT1G02070	3
AT1G02074	1
AT1G02080	3396
AT1G02090	619
AT1G02100	1172
AT1G02110	543
AT1G02120	1398
AT1G02130	1064
AT1G02140	1496
AT1G02145	391
AT1G02150	1610
AT1G02160	205
AT1G02170	576
AT1G02180	107
AT1G02190	15
AT1G02205	6021
AT1G02210	0
AT1G02220	287
AT1G02230	20
AT1G02250	0
AT1G02260	310
AT1G02270	221
AT1G02280	1974
AT1G02290	132
AT1G02300	237
AT1G02305	1924
AT1G02310	15
AT1G02320	0
AT1G02330	303
AT1G02335	304
AT1G02340	498
AT1G02350	3
AT1G02360	318
AT1G02370	33
AT1G02380	21
AT1G02390	24
AT1G02391	0
AT1G02400	393
AT1G02405	8
AT1G02410	395
AT1G02420	64
AT1G02430	16
AT1G02440	2
AT1G02450	2
AT1G02460	48
AT1G02470	19
AT1G02475	497
AT1G02480	0
AT1G02490	0
AT1G02500	7692
