Geneid	/ufrc/jkim6/share/braskey/labmtg_20200709/data/alignments/SRR9313225.sam
AT1G01010	300
AT1G01020	199
AT1G01030	24
AT1G01040	1242
AT1G01046	4
AT1G01050	983
AT1G01060	7943
AT1G01070	70
AT1G01073	0
AT1G01080	778
AT1G01090	3033
AT1G01100	2240
AT1G01110	99
AT1G01115	0
AT1G01120	5465
AT1G01130	32
AT1G01140	1354
AT1G01150	0
AT1G01160	548
AT1G01170	531
AT1G01180	392
AT1G01183	0
AT1G01190	11
AT1G01200	46
AT1G01210	60
AT1G01220	366
AT1G01225	33
AT1G01230	410
AT1G01240	361
AT1G01250	2
AT1G01260	279
AT1G01270	0
AT1G01280	0
AT1G01290	147
AT1G01300	1588
AT1G01305	0
AT1G01310	0
AT1G01320	16867
AT1G01340	286
AT1G01350	298
AT1G01355	5
AT1G01360	435
AT1G01370	49
AT1G01380	16
AT1G01390	298
AT1G01400	0
AT1G01410	0
AT1G01420	100
AT1G01430	1052
AT1G01440	440
AT1G01448	402
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	2687
AT1G01471	0
AT1G01480	34
AT1G01490	1142
AT1G01500	103
AT1G01510	684
AT1G01520	666
AT1G01530	0
AT1G01540	1704
AT1G01550	1745
AT1G01560	11
AT1G01570	23
AT1G01580	42
AT1G01590	0
AT1G01600	397
AT1G01610	1301
AT1G01620	21384
AT1G01630	668
AT1G01640	162
AT1G01650	740
AT1G01660	2
AT1G01670	4
AT1G01680	13
AT1G01690	52
AT1G01695	3
AT1G01700	2
AT1G01710	568
AT1G01720	3794
AT1G01725	86
AT1G01730	326
AT1G01740	59
AT1G01750	21
AT1G01760	49
AT1G01770	447
AT1G01780	1157
AT1G01790	1494
AT1G01800	538
AT1G01810	10
AT1G01820	814
AT1G01830	427
AT1G01840	9
AT1G01860	106
AT1G01870	0
AT1G01880	25
AT1G01890	0
AT1G01900	295
AT1G01910	548
AT1G01920	164
AT1G01930	282
AT1G01940	223
AT1G01950	485
AT1G01960	1950
AT1G01970	557
AT1G01980	1
AT1G01990	276
AT1G02000	297
AT1G02010	423
AT1G02020	316
AT1G02030	17
AT1G02040	3
AT1G02050	171
AT1G02060	107
AT1G02065	3
AT1G02070	3
AT1G02074	1
AT1G02080	3149
AT1G02090	582
AT1G02100	898
AT1G02110	700
AT1G02120	1456
AT1G02130	944
AT1G02140	1419
AT1G02145	348
AT1G02150	1528
AT1G02160	216
AT1G02170	587
AT1G02180	98
AT1G02190	10
AT1G02205	4784
AT1G02210	0
AT1G02220	357
AT1G02230	15
AT1G02250	0
AT1G02260	310
AT1G02270	184
AT1G02280	1733
AT1G02290	131
AT1G02300	193
AT1G02305	1706
AT1G02310	12
AT1G02320	0
AT1G02330	387
AT1G02335	356
AT1G02340	987
AT1G02350	5
AT1G02360	439
AT1G02370	30
AT1G02380	14
AT1G02390	32
AT1G02391	0
AT1G02400	455
AT1G02405	3
AT1G02410	383
AT1G02420	54
AT1G02430	4
AT1G02440	2
AT1G02450	4
AT1G02460	52
AT1G02470	22
AT1G02475	387
AT1G02480	0
AT1G02490	0
AT1G02500	6859
AT1G02510	0
AT1G02520	347
AT1G02530	4
AT1G02540	0
AT1G02550	0
AT1G02560	1481
AT1G02570	0
AT1G02575	0
AT1G02580	16
AT1G02590	0
AT1G02600	0
AT1G02610	40
AT1G02620	0
AT1G02630	4
AT1G02640	749
AT1G02650	12
AT1G02660	293
AT1G02670	17
AT1G02680	165
AT1G02690	191
AT1G02700	23
AT1G02710	0
AT1G02720	206
AT1G02730	340
AT1G02740	90
AT1G02750	216
AT1G02760	0
AT1G02770	27
AT1G02780	5651
AT1G02790	0
AT1G02800	207
AT1G02810	188
AT1G02813	1
AT1G02816	352
AT1G02820	9
AT1G02830	0
AT1G02840	3371
AT1G02850	1638
AT1G02860	397
AT1G02870	108
AT1G02880	879
AT1G02890	2402
AT1G02900	350
AT1G02910	580
AT1G02920	469
AT1G02930	121
AT1G02940	0
AT1G02950	159
AT1G02952	0
AT1G02960	222
AT1G02965	0
AT1G02970	36
AT1G02980	0
AT1G02990	351
AT1G03000	580
AT1G03010	21
AT1G03020	0
AT1G03022	0
AT1G03030	252
AT1G03040	776
AT1G03050	0
AT1G03055	9
AT1G03060	1722
AT1G03070	38
AT1G03080	2110
AT1G03090	2238
AT1G03100	16
AT1G03103	0
AT1G03106	74
AT1G03110	145
AT1G03120	20
AT1G03130	4217
AT1G03140	779
AT1G03150	149
AT1G03160	1025
AT1G03170	56
AT1G03180	34
AT1G03190	296
AT1G03200	1
AT1G03210	231
AT1G03220	5315
AT1G03230	701
AT1G03240	0
AT1G03250	281
AT1G03260	151
AT1G03270	25
AT1G03280	828
AT1G03290	471
AT1G03300	55
AT1G03310	280
AT1G03320	26
AT1G03330	325
AT1G03340	31
AT1G03350	1076
AT1G03360	49
AT1G03365	325
